English,Transliteration,Hebrew
to be,lihiyot,להיות
to her,la,לה
Jews,yehudim,יהודים
the Jews,hayehudim,היהודים
additional (m.pl.),nosafim,נוספים
the sea,hayam,הים
without,lelo,ללא
place,makom,מקום
life / (could also be a name),khaim,חיים
the state,hamedina,המדינה
the organization,ha'irgun,הארגון
after,akharei,אחרי
many (f.) / a lot,rabot,רבות
fight (f.pl.),ravot,רבות
that he / that is (m),shehu,שהוא
year / studied (m.s.),shana,שנה
my husband,ba'ali,בעלי
the owner(s) of,ba'alei [tshuva],בעלי
repentant,ba'alei [tshuva],בעלי
out of / from,mitokh,מתוך
inside / interior / content,tokh,תוך
head,rosh,ראש
the war of,milkhemet,מלחמת
person / man / human being / Adam,adam,אדם
against / in front of,mul,מול
person / man / husband,ish,איש
on the way,baderekh,בדרך
on a way,bederekh,בדרך
additional (f.s.),nosefet,נוספת
use,shimush,שימוש
such as,kegon,כגון
day / daylight,yom,יום
through / by way of / by,be'emtsa'ut,באמצעות
of that / from then / of you (f.pl.),miken,מכן
during / in the course of,bemeshekh,במשך
and also / and even / and nose,ve'af,ואף
to you / for you (m.s.),lekha,לך
to you / for you (f.s.),lakh,לך
go / walk (m.s. Imperative),lekh,לך
the man / the person,ha'adam,האדם
you (m.s.),ata,אתה
in the name of / called,beshem,בשם
and on / and about,ve'al,ועל
the government,hamemshala,הממשלה
to all,lekhol,לכל
to everybody,lakol,לכל
under / beneath / instead of,takhat,תחת
sometimes,le'itim,לעתים
this (m.),haze,הזה
hallucinated (m.s.),haza,הזה
from them,mehem,מהם
what are (m.pl.),mahem,מהם
despite,lamrot,למרות
said (f.s.),amra,אמרה
phrase / fringe,imra,אמרה
himself,atsmo,עצמו
the years of,shnot,שנות
almost,kim'at,כמעט
is not / is not here (m.s.),eino,אינו
in addition,benosaf,בנוסף
in the hands of,bidei,בידי
in my hand,beyadi,בידי
in my hands,beyadai,בידי
in the footsteps of / following / as a result of,be'ikvot,בעקבות
in a city,be'ir,בעיר
in the city,ba'ir,בעיר
according to / to my mouth,lefi,לפי
among,bekerev,בקרב
in a battle,bekrav,בקרב
in the battle,bakrav,בקרב
as,kefi,כפי
my palm / my spoon,kapi,כפי
the game,hamis'khak,המשחק
the one who plays,hamesakhek,המשחק
who,mi,מי
most,rov,רוב
for,avur,עבור
and the,ve'et,ואת
and you (f.s.),ve'at,ואת
at a time (of),be'et,בעת
phobia,ba'at,בעת
countries,aratsot,ארצות
for example,lemashal,למשל
the army,hatsava,הצבא
the defense,hahagana,ההגנה
article / dish / vessel / ware / tool,kli,כלי
additional (m.pl.),nosafim,נוסף
in an area,be'ezor,באזור
in the area,ba'ezor,באזור
good (m.s.),tov,טוב
in the world,ba'olam,בעולם
powers / forces / strength,kokhot,כוחות
inside,betokh,בתוך
the country / the earth / Israel,ha'arets,הארץ
the face of,pnei,פני
my face,panai,פני
in a country,be'arets,בארץ
in the country / in Israel,ba'arets,בארץ
and he,vehu,והוא
the thing / the object / the item / the matter,hadavar,הדבר
the plague,hadever,הדבר
only,bilvad,בלבד
power / force / strength,ko'akh,כוח
at home / in the house,babayit,בבית
in a house,bebayit,בבית
in the house of,bebeit,בבית
since then,me'az,מאז
the life,hakhaim,החיים
days,yamim,ימים
through / along,le'orekh,לאורך
longitudinally,la'orekh,לאורך
water,mayim,מים
many / a lot,harbe,הרבה
(did something) a lot (m.s.),hirba,הרבה
not / no / im- / in- / un- / dis- / except,bilti,בלתי
on him / about him,alav,עליו
spring,aviv,אביב
above / over / on top,me'al,מעל
embezzled (m.s.),ma'al,מעל
embezzlement / treachery,ma'al,מעל
the big / the large (m.s.),hagadol,הגדול
island / not / no / im- / in- / un- / dis-,i,אי
the book,hasefer,הספר
the border,hasfar,הספר
the barber,hasapar,הספר
once / once upon a time,pa'am,פעם
beat (m.s.),pa'am,פעם
saw (m.pl.),ra'u,ראו
by this,bekhakh,בכך
looks,nir'e,נראה
looked,nir'a,נראה
and between,levein,לבין
and until,ve'ad,ועד
committee / board,va'ad,ועד
and a witness,ve'ed,ועד
against,keneged,כנגד
fought (f.s.),rava,רבה
returned (f.s.),shava,שבה
that in her,sheba,שבה
too,midai,מדי
whenever / as often as,midei,מדי
the uniform of,madei,מדי
at the end,basof,בסוף
at the end of,besof,בסוף
the party (political),hamiflaga,המפלגה
especially,bimyukhad,במיוחד
difference / variation / variance (stat.),shonut,שונות
different / various (f.pl.) / miscellaneous,shonot,שונות
the water,hamayim,המים
and also,vegam,וגם
the more / as far as,kekhol,ככל
that were,shehayu,שהיו
in a period / in an era,bitkufa,בתקופה
in the period / in the era,batkufa,בתקופה
in the possession of / at / near,etsel,אצל
still / yet,adayin,עדיין
the years,hashanim,השנים
to it,lekhakh,לכך
Jew / Jewish (m.s.),yehudi,יהודי
value,erekh,ערך
edited / arranged / held (m.s.),arakh,ערך
now,akhshav,עכשיו
started (pl.),hekhelu,החלו
at the time [of],bizman,בזמן
on time,bazman,בזמן
the powers / the forces / the strength,hakokhot,הכוחות
tree / wood,ets,עץ
soldier (m),khayal,חיל
corps / forces / success,khayil,חיל
fear,khil,חיל
possible (adv.),efshar,אפשר
enabled / facilitated (m.s.),ifsher,אפשר
while,be'od,בעוד
the houses of / the homes of,batei,בתי
my daughter,biti,בתי
hers,shela,שלה
the island,ha'i,האי
in the same / at the same (f.s.),be'ota,באותה
big / large (f.s.),gdola,גדולה
arrived (m.s.),hegi'a,הגיע
together,yakhad,יחד
actually / in fact,lema'ase,למעשה
army,tsava,צבא
a little / a few,me'at,מעט
and more / and still / plus,ve'od,ועוד
theirs,shelahem,שלהם
on me / about me,alai,עלי
go up (f.s. Imperative),ali,עלי
between them (m.),beinehem,ביניהם
and they (f.),vehen,והן
sea,yam,ים
and between,uvein,ובין
everything,hakol,הכל
here is / you see / the mountains of,harei,הרי
are not / are not here (m.pl.),einam,אינם
at the beginning of,bitkhilat,בתחילת
the land / the earth / the soil / the ground,ha'adama,האדמה
the sentence / the trial,hamishpat,המשפט
in a way / in a shape / in a form,betsura,בצורה
in the way / in the shape / in the form,batsura,בצורה
end,sof,סוף
won (m.s.),zakha,זכה
pure (f.),zaka,זכה
outside of,mikhuts,מחוץ
crushed,makhuts,מחוץ
in the time of / in the period of / in the era of,bitkufat,בתקופת
here,po,פה
mouth,pe,פה
similar,dome,דומה
in a frame / in a framework,bemisgeret,במסגרת
in the frame / in the framework,bamisgeret,במסגרת
the empire,ha'imperia,האימפריה
people,anashim,אנשים
system / editorial board,ma'arekhet,מערכת
Maybe / perhaps,ulai,אולי
the sun,hashemesh,השמש
the attendant,hashamash,השמש
book,sefer,ספר
border,sfar,ספר
barber,sapar,ספר
counted (m.s.),safar,ספר
told (m.s.),siper,ספר
matters,inyanim,עניינים
that she / that is (f.s.),shehi,שהיא
is not / is not here (f.s.),eina,אינה
year [X] / year of,shnat,שנת
mine,sheli,שלי
to see,lir'ot,לראות
and therefore / and to/for you (f.pl.),velakhen,ולכן
in the years,bashanim,בשנים
in years,beshanim,בשנים
writing,ktav,כתב
wrote (m.s.) / reporter,katav,כתב
the battle,hakrav,הקרב
small / little (m.s.),katan,קטן
on [day / date] / per day,beyom,ביום
during the day,bayom,ביום
because,mipnei,מפני
[to] there,lesham,לשם
[to/for] the name,lashem,לשם
for the sake of,leshem,לשם
opal,leshem,לשם
content,tokhen,תוכן
the power / the force / the strength,hako'akh,הכוח
arrived (pl.),hegi'u,הגיעו
in the years of,bishnot,בשנות
in countries,be'aratsot,בארצות
in the countries,ba'aratsot,בארצות
the way / the road,haderekh,הדרך
soldiers,khayalim,חיילים
program / plan,tokhnit,תוכנית
the movie / the ribbon/strip,haseret,הסרט
again / return (m.s. imperative),shuv,שוב
due to / because of,ekev,עקב
followed (m.s.),akav,עקב
heel,akev,עקב
that they (m.) / that are (m.pl.),shehem,שהם
done,na'asa,נעשה
we will do,na'ase,נעשה
towards,lilkrat,לקראת
in them (f.),bahen,בהן
the time,hazman,הזמן
million,milyon,מיליון
the king,hamelekh,המלך
neighbor (m.s.),shakhen,שכן
lived / dwelt (m.s.),shakhan,שכן
will be (m.s.),yihiye,יהיה
council of,mo'etset,המועצות
from him,mimenu,ממנו
difficult / hard (m.s.),kashe,קשה
difficult / hard (f.s.),kasha,קשה
passed / crossed / went through (m.s.),avar,עבר
other (f.pl.) / others,akherot,אחרות
the authority / the reign / the government,hashilton,השלטון
need / necessary / should / must,tsarikh,צריך
bacterium,khaydak,חידק
the Jewish (f.s.),hayehudit,היהודית
is found / is [at] (m.s.),nimtsa,נמצא
mountain,har,הר
structure,mivne,מבנה
the new (f.s.),hakhadasha,החדשה
from all,mikol,מכל
in front of / in the presence of,bifnei,בפני
in front of me / in my presence,befanai,בפני
(the) establishment of,hakamat,הקמת
we,anakhnu,אנחנו
group of,kvutsat,קבוצת
that in them (m.),shebahem,שבהם
includes / including,kolel,כולל
external (m.pl.),khitsonim,חיצוניים
marine (m.s.),yami,ימי
the mid / the middle / the intermediate,habeinayim,הביניים
all over,berakhvei,ברחבי
up / upward,lemala,למעלה
states,medinot,מדינות
the Jew / the Jewish (m.s.),hayehudi,היהודי
relatively,yakhasit,יחסית
the movement / the motion / the traffic,hatnu'a,התנועה
the gods,ha'elim,האלים
kinds / species / genders,minim,מינים
to him / to it (m.s.),elav,אליו
the friend (f.s.),hakhavera,החברה
the company / the society,hakhevra,החברה
country / land / earth,erets,ארץ
the structure,hamivne,המבנה
the house / the home,habayit,הבית
the machine,hamekhona,המכונה
that is called / aka (m.s.),hamekhune,המכונה
that is called / aka (f.s.),hamekhuna,המכונה
the people,ha'am,העם
because,mishum,משום
succeeded (pl.),hitslikhu,הצליחו
the rebellion,hamered,המרד
into,letokh,לתוך
can (m.pl.),yekholim,יכולים
around,saviv,סביב
his death,moto,מותו
heart,lev,לב
now,ata,עתה
transition / pass,ma'avar,מעבר
beyond / across,me'ever,מעבר
for example,ledugma,לדוגמה
if / is it / whether,ha'im,האם
the mother,ha'em,האם
succeeded (m.s.),hitsliakh,הצליח
from the beginning,mekhadash,מחדש
renews / innovates (m.s.),mekhadesh,מחדש
to the country / to Israel,la'arets,לארץ
the season / this season / that/who answers (f.s.),ha'ona,העונה
pact / alliance / covenant / circumcision,brit,ברית
for us / to us / slept overnight (pl.),lanu,לנו
links / the connections / the bindings,kishurim,קישורים
these,ha'ele,האלה
the goddess,ha'ela,האלה
from this (m.),mize,מזה
main / principal,rashi,ראשי
stood / was about to / endured / succeeded / insisted on (m.s.),amad,עמד
hill,tel,תל
in the north,batsafon,בצפון
in the north of,bitsfon,בצפון
therefore / to/for you (f.pl.),lakhen,לכן
the engineering,hahandasa,ההנדסה
without,mibli,מבלי
mostly,larov,לרוב
to/for the majority,lerov,לרוב
that is between / that is among,shebein,שבין
hand,yad,יד
action / operation / deed / transaction,pe'ula,פעולה
body,guf,גוף
unit / squad / only / single (f.s.),yekhida,יחידות
that I,she'ani,שאני
coming / came (m.s.),ba,בא
known,yadu'a,ידוע
and after,vele'akhar,ולאחר
and to another / and to be late,vele'akher,ולאחר
and to the other,vela'akher,ולאחר
period / era,tkufa,תקופה
period of / era of,tkufat,תקופת
even / although,afilu,אפילו
to find,limtso,למצוא
earlier,kodem,קודם
former / previous (m.s.),kodem,קודם
to a side / to the [right/left] / next to,letsad,לצד
to the side,latsad,לצד
the community,hakehila,הקהילה
I was,hayiti,הייתי
in a hundred,beme'a,במאה
in the century,bame'a,במאה
the body,haguf,הגוף
from an aspect,mibkhina,מבחינה
observes (f.s.),mavkhina,מבחינה
went out / came out (m.s.),yatsa,יצא
different (m.s.),shone,שונה
that/who was / that she was,shehaita,שהייתה
stone,even,אבן
for the first time,larishona,לראשונה
for,lema'an,למען
food,mazon,מזון
inverted / converted / turned / become / transformed (m.s.),hafakh,הפך
line,kav,קו
the elections / the selections,habkhirot,הבחירות
building,binyan,בניין
dynasty,shoshelet,שושלת
background,reka,רקע
like this / such,kaze,כזה
big / large (m.pl.),gdolim,גדולים
received / accepted (m.s.),kibel,קיבל
the ship,hasfina,הספינה
went up / climbed / increased / immigrated (to Israel) (m.s.),ala,עלה
leaf,ale,עלה
can (f.s.),yakhola,יכולה
finally / eventually,levasof,לבסוף
area / region / zone,ezor,אזור
from the year [X] / from the year of,mishnat,משנת
the use,hashimush,השימוש
this time,hapa'am,הפעם
immediately,miyad,מיד
kind / species / gender / sex,min,מין
if,vekhi,וכי
other (f.s.) / otherwise,akheret,אחרת
this year,hashana,השנה
me,oti,אותי
how,eikh,איך
continued (m.s.),himshikh,המשיך
with the help of,be'ezrat,בעזרת
as a result,ketotsa'a,כתוצאה
weapon,neshek,נשק
kissed (m.s.),nashak,נשק
which / what (m.),eize,איזה
the last (m.s.),ha'akharon,האחרון
the big / the large (f.s.),hagdola,הגדולה
near / next to,leyad,ליד
meaning,klomar,כלומר
nothing / garlic,shum,שום
less / minus,pakhot,פחות
inferior / lesser (m.s.),pakhut,פחות
at the top / leading / in a head,berosh,בראש
at the top / leading / in the head,barosh,בראש
blood,dam,דם
friend of / member of (f.s.),khavrat,חברת
company of,khevrat,חברת
times,pe'amim,פעמים
the name / God,hashem,השם
to arrive,lehagi'a,להגיע
started (f.s.),hekhela,החלה
materials,khomarim,חומרים
well / properly,heytev,היטב
the upper / the top / the utmost / the superior (m.s.),ha'elyon,העליון
battle,krav,קרב
getting close / approaches (m.s.),karev,קרב
additional (f.pl.),nosafot,נוספות
the Caesar,hakeysar,הקיסר
the air,ha'avir,האוויר
center,merkaz,מרכז
wants (m.s.),rotse,רוצה
war,milkhama,מלחמה
from the direction of / from adjustment / from tuning,mekivun,מכיוון
because,mikeivan,מכיוון
that there is,sheyesh,שיש
so / this way,ko,כה
from / by,me'et,מאת
meters,metrim,מטרים
the forest,haya'ar,היער
is it not / indeed,halo,הלא
on her / about her,aleha,עליה
state / situation,matsav,מצב
the Knesset (the Israeli parliament),hakneset,הכנסת
compared with / against / opposite,le'umat,לעומת
movement of / motion of / traffic of,tnu'at,תנועת
actions / operations / deeds / transactions,pe'ulot,פעולות
never,me'olam,מעולם
always,tamid,תמיד
hundreds / centuries,me'ot,מאות
placed / put (pl.),samu,שמו
his name,shmo,שמו
from a side / from the [right/left],mitsad,מצד
at a stage / at a phase,beshalav,בשלב
without,bli,בלי
wind / spirit / ghost,ru'akh,רוח
new (m.s.),khadash,חדש
the only / the single / the individual,hayakhid,היחיד
Later / later on,bahemshekh,בהמשך
Later / later on,behemshekh,בהמשך
organization,irgun,ארגון
to do,la'asot,לעשות
new (m.pl.),khadashim,חדשים
short (m.s.),katsar,קצר
ownership,ba'alut,בעלות
in contrast / contrary to,benigud,בניגוד
activity,pe'ilut,פעילות
flag,degel,דגל
specific (m.pl.),mesuyamim,מסוימים
in a game,bemis'khak,במשחק
in the game,bamis'khak,במשחק
in parallel / simultaneously,bemakbil,במקביל
in the past,ba'avar,בעבר
basis / base,basis,בסיס
to the house of / to the home of,leveit,לבית
to the house / to the home,labayit,לבית
the new (m.s.),hakhadash,החדש
to use,lehishtamesh,להשתמש
at a number,bemispar,במספר
the group,hakvutsa,הקבוצה
exists (m.s.),kayam,קיים
the place,hamakom,המקום
and so,vekhakh,וכך
whereas,ve'ilu,ואילו
here is,hine,הנה
[to] here,hena,הנה
is (f.s.),hina,הנה
manic (f.s.),manit,מאנית
the settlement / the civilization,hayeshuv,היישוב
the old (f.s.),hazkena,הזקנה
the old age,hazikna,הזקנה
the ant,hanemala,הנמלה
and I / and me,ve'ani,ואני
correct / ready (m.s.),nakhon,נכון
the tree / the wood,ha'ets,העץ
drugs,samim,סמים
late,me'ukhar,מאוחר
the bank,habank,הבנק
in the same / at the same (m.s.),be'oto,באותו
regarding,legabei,לגבי
towards,klapei,כלפי
towards me,klapai,כלפי
on [days] / in the days of,bimei,בימי
the series,hasidra,הסדרה
important (m.s.),khashuv,חשוב
and in him / and in it,uvo,ובו
meter,meter,מטר
rain shower,matar,מטר
and then,ve'az,ואז
the other (m.pl.) / the others (m.),ha'akherim,האחרים
light,or,אור
to / to the hands of,liydei,לידי
near me / next to me,leyadi,לידי
there are (m.),yeshnam,ישנם
words,milim,מילים
to form / to create / to make,litsor,ליצור
area / field / territory,shetakh,שטח
widened / broadened,murkhav,מורחב
cluster,eshkol,אשכול
that there is no,she'ein,שאין
because,biglal,בגלל
clear / obvious (m.s.),barur,ברור
high / tall (m.s.),gavoha,גבוה
the judgment / the sentence / the law,hadin,הדין
the village,hakfar,הכפר
the trees / the logs,ha'etsim,העצים
brought (m.s.),hevi,הביא
the different / the various (m.pl.),hashonim,השונים
the Hebrew,ha'ivrit,העברית
the mathematics,hamatematika,המתמטיקה
really,mamash,ממש
time,et,עת
new (f.s.),khadasha,חדשה
the pomegranate / the grenade,harimon,הרימון
dead / died (m.s.),met,מת
and she,vehi,והיא
girl / daughter,bat,בת
tie / bond / link / connection,kesher,קשר
the state of,medinat,מדינת
them (f.),otan,אותן
themselves,atsmam,עצמם
is considered / was considered (m.s.),nekhshav,נחשב
the period / the era,hatkufa,התקופה
forever,le'olam,לעולם
to/for the world,la'olam,לעולם
the work,ha'avoda,העבודה
of a measure / of size / of a quality / to the extent that / [if (slang)],bemida,במידה
margins / edges / fringe,shulayim,שוליים
rights / privileges,zkhuyot,זכויות
read / called (m.s.),kara,קרא
the big / the large (m.pl.),hagdolim,הגדולים
the warfare / the fighting,halekhima,הלחימה
soldered (f.s.),hilkhima,הלחימה
asked / borrowed (m.s.),sha'al,שאל
this (f.),hazot,הזאת
source / beak,makor,מקור
my friend / friendly,khaveri,חברי
my friends,khaverai,חברי
friends of / members of,khavrei,חברי
divisions,divizyot,דיוויזיות
kinds of / species of,minei,מיני
on a hill,betel,בתל
on the hill,batel,בתל
was used / served (m.s.),shimesh,שימש
and more,veyoter,ויותר
brought (pl.),hevi'u,הביאו
in/at places,bimkomot,במקומות
in/at the places,bamekomot,במקומות
I am / here I am,hineni,הנני
commander,mefaked,מפקד
census / muster,mifkad,מפקד
that after,shele'akhar,שלאחר
from between / from among,mibein,מבין
understand (m.s.),mevin,מבין
from her,mimena,ממנה
trees / logs,etsim,עצים
change,shinui,שינוי
the flag,hadegel,הדגל
the democracy,hademokratya,הדמוקרטיה
at all,bikhlal,בכלל
on them / about them (m.),aleihem,עליהם
from this,mikakh,מכך
quantity / amount,kamut,כמות
history,historia,היסטוריה
to me,elai,אלי
my god,eli,אלי
exist (m.pl.),kayamim,קיימים
the states,hamedinot,המדינות
central (m.s.),merkazi,מרכזי
on the street,barekhov,ברחוב
on a street,berekhov,ברחוב
the last (f.pl.),ha'akhronot,האחרונות
and by this,uvkhakh,ובכך
indeed,omnam,אומנם
everybody (m.),kulam,כולם
execution / putting to death,[hotsa'a] lahoreg,להורג
groups,kvutsot,קבוצות
to bring,lehavi,להביא
the player / the actor,hasakhkan,השחקן
his life,khayav,חייו
the rest,hayeter,היתר
energy,energiya,אנרגיה
the rise / the increase / the immigration,ha'aliya,העלייה
the ignorant (m.pl.),haburim,הבורים
the beginning of,tkhilat,תחילת
and they,vehem,והם
the population,ha'ukhlusiya,האוכלוסייה
in a forest,beya'ar,ביער
in the forest,baya'ar,ביער
all of it (m.s.),kulo,כולו
knew (m.s.),yada,ידע
knowledge,yeda,ידע
went out / came out (pl.),yats'u,יצאו
direction / adjustment / tuning,kivun,כיוון
comments,he'arot,הערות
to prevent,limno'a,למנוע
tax,mas,מס
for reading / for calling / for a call,likri'a,לקריאה
claimed / argued (m.s.),ta'an,טען
months,khodashim,חודשים
hereby,baze,בזה
in this one (m.),beze,בזה
this is (m.) / that's it,zehu,זהו
the rest,hash'ar,השאר
leave (m.s. imperative),hash'er,השאר
high / tall (f.s.),gvoha,גבוהה
in a field / in an area / in a range,bitkhum,בתחום
in the field / in the area / in the range,batkhum,בתחום
specific (m.s.),mesuyam,מסוים
the kind / the species / the gender / the sex,hamin,המין
knows (m.s.),yode'a,יודע
the soil / the ground / the land,hakarka,הקרקע
the municipality,ha'iriya,העירייה
treatment,tipul,טיפול
stream,nakhal,נחל
inherited / attained (m.s.),nakhal,נחל
you (m.pl.),atem,אתם
with them (m.pl.),itam,אתם
peace,shalom,שלום
factors / cause (m.pl.),gormim,גורמים
the unit / the squad / the only / the single,hayekhida,היחידה
appear / perform (m.s.),mofi'a,מופיע
the area / the field / the territory,hashetakh,השטח
legal (m.s.),khuki,חוקי
the regiment,hagdud,הגדוד
and all,vekol,וכל
to receive / to accept,lekabel,לקבל
meat,basar,בשר
exist (f.s.),kayemet,קיימת
published / advertised (m.s.),pirsem,פרסם
the mouse (female),ha'akhbara,העכברה
I am not,eineni,אינני
exactly,bediyuk,בדיוק
minister,sar,שר
sing (m.s.),shar,שר
rest / remainder,sh'ar,שאר
children,yeladim,ילדים
went out / came out (f.s.),yatsa,יצאה
rest / remainder,yeter,יתר
the god,ha'el,האל
in sport,besport,בספורט
in the sport,basport,בספורט
work,avoda,עבודה
totally / entirely / absolutely,lakhalutin,לחלוטין
the meaning / the interpretation,haperush,הפרוש
small / little (m.pl.),ktanim,קטנים
points,nekudot,נקודות
herself,atsma,עצמה
power / force / intensity,otsma,עצמה
lack / deficiency / shortage / deficit,khoser,חוסר
accordingly,behet'em,בהתאם
process,tahalikh,תהליך
myself / self,atsmi,עצמי
at a state / in a situation,bematsav,במצב
at the state / in the situation,bamatsav,במצב
to build,livnot,לבנות
for the girls,labanot,לבנות
for girls,lebanot,לבנות
probably,kanir'e,כנראה
the nature,hateva,הטבע
the global / the universal (f.s.),ha'olamit,העולמית
indeed,akhen,אכן
thanks to / due to / by right of,bizkhut,בזכות
group,kvutsa,קבוצה
judgment / sentence / law,din,דין
institutes,mosadot,מוסדות
the desert,hamidbar,המדבר
the boulevard,hasdera,השדרה
bank,bank,בנק
for this (m.),laze,לזה
[to] time,befa'am,בפעם
to go out / to come out,latset,לצאת
near / confident (m.s.),samukh,סמוך
living / alive (m.s.),khai,חי
his son,bno,בנו
the state / the situation,hamatsav,המצב
dollar,dolar,דולר
government of,memshelet,ממשלת
world / universe,olam,עולם
sport,sport,ספורט
the liberal,haliberalit,הליברלית
the protein,hakhelbon,החלבון
hours,sha'ot,שעות
under / beneath,mitakhat,מתחת
the owner of / has,ba'alat,בעלת
returned / repeated (f.s.),khazra,חזרה
repetition / rehearsal / back,khazara,חזרה
in light of,le'or,לאור
passed / crossed / went through (f.s.),avra,עברה
brought (f.s.),hevi'a,הביאה
the general,hageneral,הגנרל
arrived (f.s.),hegi'a,הגיעה
in a month,bekhodesh,בחודש
in the month,bakhodesh,בחודש
need / necessity,tsorekh,צורך
game,mis'khak,משחק
role,tafkid,תפקיד
champion,aluf,אלוף
like,bedome,בדומה
cells of,ta'ei,תאי
cellular / my cell,ta'i,תאי
enough,day,די
in the eyes of / in the opinion of,be'einei,בעיני
in my eyes / in my opinion,be'einai,בעיני
small / little (f.s.),ktana,קטנה
at the center,bamerkaz,במרכז
at the center of,bemerkaz,במרכז
is / constitutes (m.s.),mehave,מהווה
relative,yakhasi,יחסי
the relations of,yakhasei,יחסי
the worker / that operates,hapo'el,הפועל
the verb,hapo'al,הפועל
few,akhadim,אחדים
special,meyukhad,מיוחד
saw (m.s.),ra'a,ראה
the visible,hanir'e,הנראה
white,lavan,לבן
for the son,laben,לבן
movement / motion / traffic,tnu'a,תנועה
to one (m.),le'ekhad,לאחד
the fact,ha'uvda,העובדה
ways / roads,drakhim,דרכים
to a city,le'ir,לעיר
to the city,la'ir,לעיר
the action / the operation / the deed / the transaction,hape'ula,הפעולה
inverted / converted / turned / become / transformed (f.s.),hafkha,הפכה
at war,bemilkhama,במלחמה
in the war,bamilkhama,במלחמה
the ancient / the old (f.s.),ha'atika,העתיקה
bi-,du,דו
regiment,gdud,גדוד
oxygen,khamtsan,חמצן
please,na,נא
face,panim,פנים
inside / interior,pnim,פנים
